content,score,Label
"Aplikasi bodong saya barusan top up 1 juta di indomaret,rencana buat tabungan.. tapi stelah saya top up aplikasi dana saya gk bisa di buka,pdahal udah versi terbaru tapi masih disuruh update apk ke versi terbaru terus.. makin lama makin gk jelas di apk dana.. untung duit gw masih 2Miliar lgi di bank.. nb : jngn download aplikasi dana.. atau duit kalian yg di dalem di curi sama admin nya.. ni apk klau tuk simpan uang sangat2 tidak rekomendasi.. !!!",1,Negatif
"Server eror terus,,saya kecewa!! Jadi ga bisa beli pulsa padahal udah saya update ttp z ga bisa masuk,,,tolong dong perbaiki.makin parah",1,Negatif
"lemot banget, setiap transaksi pending Mulu, mna lagi urjen, giliran transaksi pending, mau di batalin gak bisa, udah nunggu 2 hari gak balik2 saldonya.",1,Negatif
"Dari tanggal 14 mei top up kartu elektronik/e money saldo dana sudah terpotong dan orderan berhasil tapi saldo belum masuk ke e money Sudah hub custom service sampai sekarang belum ada jawaban,coba lewat email pun sudah tapi hasilnya nihil Kalo ada dana refund sih gpp tapi belum ada refund sampe sekarang",1,Negatif
kenapa setiap kali z masukan pin selalu salah padahal PINnya benar. d refresh ke sandi baru pun tetap bgitu.. mohon infonya. atau cantumkan atmin dana biar bisa konsultasikan masalahnya..,2,Negatif
Padahal saldo belum saya pakai sama sekali trus dipotong ada keterangan pembelian kuota padahal saya tidak beli kuota Lo... rencana mau saya pakai pembayaran disalah satu platform Lo untuk seminar...sangat kecewa gpp rejeki masih di tangan saya...saya tidak permasalahkan uangnya tp iktikatnya gimana,1,Negatif
"Ini kenapa ya uda premium trs besoknya ganti yg biasa hrus upgrade lagi.. Sedangkan upgrade gagal"" Mulu ada yg bisa bantu call center nya?",2,Negatif
"Banyak kendala, masa pin udah bener masih aja salah, terus udah di ganti pin masih aja salah, hubungin costumer service iya iya doang sampe sekarang belum ada perbaikan",1,Negatif
"Bagus si,,tapi kenapa harus robot yang jawab ketika ada kesalahan dalam transaksi,apakah cuma itu yang bisa memuaskan pengguna aplikasi ini,saya top up kuota 2 kali transaksi gara2 lemot,giliran dicek yang masuk cuma satu,giliran dilaporkan gak ngasih solusi,,,",4,Positif
Kenapa susah sekali upgrade dana premium. Selalu gagal padahal baru buat. Tolonglah s7ya mau transaksi ini.,5,Positif
Uang belum masuk ke rekening padahal transaksi sudah berhasil sudah satu Minggu uang saya belum masuk sudah live chat tp gak ada tanggapan di suruh nunggu sudah saya tunggu satu Minggu lebih belum masuk juga gimana ini pihak dana!!!!,1,Negatif
"Saat saya masuk kembali dengan nomor telepon dan memasukkan PIN DANA yang benar berkali-kali, dan sudah beberapa kali mengganti PIN DANA saya tidak dapat masuk. Sedangkan, saya ada tabungan di DANA. Tolong masalah ini segera di selesaikan",1,Negatif
Dana saya sudah dulu upgrade premium tpi kemarin disuruh upgrade lagi.. pas upgrade gagal terus gimana ini.. sudah klik bantuan chat tpi selalu disuruh tunggu 10 mnt,1,Negatif
"Sudah Lebih 24 jam transaksi tidak selesai di proses, Transfer ke Bca menunggu lama dan UANG tidak juga di refund... Cs support hanya menggunakan auto chat... Bagaimana bisa ini di sebut layanan terbaik...",2,Negatif
"Tidak bisa membuka menu transaksi lain nya, sudah satu minggu ini hanya bisa isi pulsa dan data saja.. Menyesal isi saldo lumayan banyak, setelah saldo habis auto uninstal aplikasi/hapus akun. Stop pake aplikasi gak jelas!!!",1,Negatif
"Cuma Banyak promo penawaran, saat melakukan pembayaran lewat dana uangnya belum sampai Sangat kecewa sekali menggunakan Apk dana ini, Transaksi sudah berhasil namun di cek ketujuan kirim uang belum masuk, bagaimana ini dana bikin orang susah.",1,Negatif
"Aplikasinya sangat membantu. Saran sistem pembayarannya di tambah lagi, contoh: pembayaran pajak, angsuran motor dll, bisa di print juga",5,Positif
"selama ini sudah terintegrasi dengan cukup baik,transaksi apapun jadi lebih mudah,namun kadang2 beranda g@aa@",5,Positif
"Ini gimana ya, aku baru aja kehilangan saldo 30rb lebih padahal ga ada transaksi. Di history ku jg terakhir transaksi sebesar 1500 di 2 platform berbeda. Tp aku kehilangan saldo sampe 30rb. Tolong dong developer tanggapannya. Aku mau saldoku balik walau cuma segítu",1,Negatif
"Apk sering eror, gak bisa login, memassukkan nomer telpon dan sandi selalu double, memasukkan sandi yang benar tetap salah. Pelanggaran berat kasih bintang 1 dulu sampai ada perbaikan lanjut",1,Negatif
"Mau masuk ke applikasi susah, ketika login notif selalu pin salah ketika login menggunakan pin baru tetap salah, akhirnya saya unistal applikasi dan saya instal aplikasi lain yg lebih mudah dan seperti ovo dan link",1,Negatif
"Aplikasi totol,masuk ke aplikasi ko lama bgt udah gitu nunggu ferivikasi lama tapi gak masuk masuk,mau nyalahin jaringan ? jaringan gw bagus aplikasi aja yg bodoh",1,Negatif
"Ribet daftar dana premium gagal terus, serasa dipersulit banget, cs nya juga gk respon mending pake app sebelah aja... dana selalu minta jadi premium padahal saya dulu udah premium tapi sekarang malah harus daftar premium lagi mana gk bisa transfer lagi, dasar app gagal",1,Negatif
"Tolong di bantu untuk upgrade ke premium,sudah di coba dengan semua persyaratan yang diarahkan oleh sistem tetapi selalu gagal,padahal cuma mau nabung tidak mau berhutang!!!",1,Negatif
Parah padahal terakhir bulan Januari make buat top up normal dan bisa muncul tapi sejak masuk april udah ga bisa muncul widget bayar nya jadi harus ngakalin lewat google tapi sekarang malah kalo notif login google di klik gak muncul konfirmasinya. Cuma bisa pake lewat googleplay doang sekarang,1,Negatif
"Sekrang DANA sangat lemoott banget pada hal sinyal kuat,banyak bug,bayar pake qeris sering gagal...mohon cepat diperbaiki",1,Negatif
"Saldo berkurang, ada riwayat transaksi kirim uang, tapi nomor tidak dikenal, dan waktu itu saya tidak melakukan transaksi. Chat yang mbalas robot, tidak jelas maksudnya, ribet, berulang-ulang. Uang tidak kembali, setengah juta lebih.",1,Negatif
"Maaf dana sekarang banyak pengguna ngasih bintang satu.Dana mulai tidak jelas ada pemotongan untuk dana masuk ,harga harganya mulai naik,seperti paket data dan pulsa. Cocok bintang satu untuk dana update terbaru",1,Negatif
"Kenapa sih kok masih ada tulisan ""koneksi internetmu terputus nih"" padahal sinyal aku udah stabil masih aja tidak bisa di gunakan, coba lebih di benarkan lagi apk nya biar bintang 5 ada kalau apk nya begini nantinya banyak orang yang memberi bintang 1, karena alasan apk nya tidak bisa digunakan atau masalah jaringan kan gak tau, jadi berharap yang baca ini, dan semoga diperbaiki lagi oleh pemilik 'DANA' tersebut. terimaka sih",1,Negatif
"Emang aplikasi gila ,nunggu pembatalan pembayaran saldo ,bisa2 memakan waktu berjam2 ,dan Sampai sekarang saldo gua gak balik2 kedompet utama , aplikasi wajib dihapus dari play store, karena sangat merugikan banyak orang",1,Negatif
"Sangat membantu sekali saat bertransaksi online / berbelanja online , pembelian paket internet / pulsa dsb memakai aplikasi DANA. Akses cepat dan mudah, aman dan terpercaya dlm bertransaksi untuk saat ini..., mudah²an amanah selalu.👌👌👌👍👍👍 TKS 🙂",5,Positif
"Keren sih dana apalagi kalau sudah Premium pengamanan nya tidak di ragukan lagi, kemarin saya hampir di hack orang Alhamdulillah bisa teratasi dengan baik. Tingkatkan lagi pengamanan untuk aplikasi DANA . Terimakasih",5,Positif
"tolong di perbaiki system kepekaan kepada pengguna APK DANA.. kasih kepekaan yg cepat.. respon yg cepat agar transaksi tidak terhambat.. saldo saya belum di kembalikan, topup via alfa keterangan sukses tapi belum bertambah saldo nya, dan resolusi sudah berulang ulang.. masih belum saja update",1,Negatif
"Topup saldo di Alfamart dan punya struk tapi saldo tidak bertambah, sudah melaporkan diaplikasi dan via email menunggu 1 sampai 2 hari tapi tidak ada kelanjutannya,..",1,Negatif
"Menggunakan dana sudah lama tp Di kecewain kali ini. Baru kali ini saya teransper ke rekening. saldo sudah terpotong, tetansaksi sukses. Tapi uang tidak masuk di rekening tujuan. Laporan pun cuek cuek aja .",1,Negatif
Sistem keamanan nya tolong di perbaikin dan diperketat...saldo saya hilang terus padahal sy tidak melakukan transaksi...sy sudah laporan pengaduan ke ke customer service tapi smpe sekarang gk ada tindakan apaun...tolong bantuan nya biar sy bisa nyaman dan gk risih bertransaksi di dana,1,Negatif
"Baru saja daftar isi saldo,uda di sadap sama oranguda ngak bisa lagi di buka,hancur kali aplikasi ini sangat mudah di ambil orang.",1,Negatif
"Sangat parah sekarang pakai dana .. transaksi pakai QRIS status berhasil tapi saldo tidak masuk ke penerima , udah live chat 2x24 ga ada respon sama sekali email pun sama ga ada respon juga",1,Negatif
"aplikasi keamana kurang baik kenapa saldonya hilang, sedangkan saya tidak melakukan transaksi.. sudah mengajukan pelaporan tapi belum ad blasannya.. ad solusinya kah kalaw tidak ad solusi mending aplikasinya di tutup jangan ad lebih banyak korban...",1,Negatif
"Tolong dong dana perketat lagi keamanan nya,ini kok saldo ku berkurang 180k,,pas diliat diriwayat nya ada transfer an ke google Ke VPN turbo,masa pihak VPN bisa sedot dana, padahal td malam sama sekali gak ada proses transaksi manual dr kami,",4,Positif
"Dana di update Mulu tapi gak bagus bagus, kalo mau tf suruh update ke premium, udah pernah di update ke premium malah suruh update lagi, malah kalo update ke 2 kali gak bisa pake data yang sama, gimana ceritanya kaya gitu",1,Negatif
"Saya sudah kecewa dari pihak developer aplikasi DANA, Kemarin saldo dana aku 50.000 disedot oleh google padahal saya tidak ada pembelian, terus saya isi saldo lagi 60.000 masih kejadian yg sama, saya mengajukan permohonan pengembalian saldo saya , saya telp pihak developer DANA kata nya isi top up 190.000 genapkan jadi 300.000, saya top up eh malah hilang semua saldo saya, disini saya mulai kecewa dengan aplikasi ini, Jadi mohon maaf saya unistal aplikasi ini, klo semua saldo saya dikembalikan",1,Negatif
"Aplikasi goblokk saldo saya 500 rbu gk bisa di tarik harus upgrade ke dana premium lagi,,padahal dari awal pake apk ini sudah berhasil JD dana premium pas upgrade gagal Mulu ,JD gk bisa di ambil uang saldo nya,,dasar aplikasi goblokk anjigg",1,Negatif
"Dari awal instal udah lebih 1 thn verifikasi premium selalu ditolak,padahal E KTP asli, kok hasilnya palsu, udah di tambahin KSK asli jg msh ditolak, aplikasi ga bener nih, uninstal aja, mendibg pake LINK g ribet",2,Negatif
"Kedepannya di perbaiki dalam hal update data ya kak, soalnya banyak pengguna yang merasa menggunakan dana tapi lemot aplikasinya, kecepatan aplikasi diperbaiki. Sukses selalu ya kak buat dana.",4,Positif
