content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
"Aplikasi bodong saya barusan top up 1 juta di indomaret,rencana buat tabungan.. tapi stelah saya top up aplikasi dana saya gk bisa di buka,pdahal udah versi terbaru tapi masih disuruh update apk ke versi terbaru terus.. makin lama makin gk jelas di apk dana.. untung duit gw masih 2Miliar lgi di bank.. nb : jngn download aplikasi dana.. atau duit kalian yg di dalem di curi sama admin nya.. ni apk klau tuk simpan uang sangat2 tidak rekomendasi.. !!!",1,Negatif,aplikasi bodong saya barusan top up  juta di indomaretrencana buat tabungan tapi stelah saya top up aplikasi dana saya gk bisa di bukapdahal udah versi terbaru tapi masih disuruh update apk ke versi terbaru terus makin lama makin gk jelas di apk dana untung duit gw masih miliar lgi di bank nb  jngn download aplikasi dana atau duit kalian yg di dalem di curi sama admin nya ni apk klau tuk simpan uang sangat tidak rekomendasi ,aplikasi bodong barusan top up juta indomaretrencana tabungan stelah top up aplikasi dana gk bukapdahal udah versi terbaru disuruh update apk versi terbaru gk apk dana untung duit gw miliar lgi bank nb jngn download aplikasi dana duit yg dalem curi admin nya ni apk klau tuk simpan uang rekomendasi,"['aplikasi', 'bodong', 'barusan', 'top', 'up', 'juta', 'indomaretrencana', 'tabungan', 'stelah', 'top', 'up', 'aplikasi', 'dana', 'gk', 'bukapdahal', 'udah', 'versi', 'terbaru', 'disuruh', 'update', 'apk', 'versi', 'terbaru', 'gk', 'apk', 'dana', 'untung', 'duit', 'gw', 'miliar', 'lgi', 'bank', 'nb', 'jngn', 'download', 'aplikasi', 'dana', 'duit', 'yg', 'dalem', 'curi', 'admin', 'nya', 'ni', 'apk', 'klau', 'tuk', 'simpan', 'uang', 'rekomendasi']",aplikasi bodong barusan top up juta indomaretrencana tabung stelah top up aplikasi dana gk bukapdahal udah versi baru suruh update apk versi baru gk apk dana untung duit gw miliar lgi bank nb jngn download aplikasi dana duit yg dalem curi admin nya ni apk klau tuk simpan uang rekomendasi
"Server eror terus,,saya kecewa!! Jadi ga bisa beli pulsa padahal udah saya update ttp z ga bisa masuk,,,tolong dong perbaiki.makin parah",1,Negatif,server eror terussaya kecewa jadi ga bisa beli pulsa padahal udah saya update ttp z ga bisa masuktolong dong perbaikimakin parah,server eror terussaya kecewa ga beli pulsa udah update ttp z ga masuktolong perbaikimakin parah,"['server', 'eror', 'terussaya', 'kecewa', 'ga', 'beli', 'pulsa', 'udah', 'update', 'ttp', 'z', 'ga', 'masuktolong', 'perbaikimakin', 'parah']",server eror terussaya kecewa ga beli pulsa udah update ttp z ga masuktolong perbaikimakin parah
"lemot banget, setiap transaksi pending Mulu, mna lagi urjen, giliran transaksi pending, mau di batalin gak bisa, udah nunggu 2 hari gak balik2 saldonya.",1,Negatif,lemot banget setiap transaksi pending mulu mna lagi urjen giliran transaksi pending mau di batalin gak bisa udah nunggu  hari gak balik saldonya,lemot banget transaksi pending mulu mna urjen giliran transaksi pending batalin gak udah nunggu gak saldonya,"['lemot', 'banget', 'transaksi', 'pending', 'mulu', 'mna', 'urjen', 'giliran', 'transaksi', 'pending', 'batalin', 'gak', 'udah', 'nunggu', 'gak', 'saldonya']",lot banget transaksi pending mulu mna urjen gilir transaksi pending batalin gak udah nunggu gak saldo
"Dari tanggal 14 mei top up kartu elektronik/e money saldo dana sudah terpotong dan orderan berhasil tapi saldo belum masuk ke e money Sudah hub custom service sampai sekarang belum ada jawaban,coba lewat email pun sudah tapi hasilnya nihil Kalo ada dana refund sih gpp tapi belum ada refund sampe sekarang",1,Negatif,dari tanggal  mei top up kartu elektronike money saldo dana sudah terpotong dan orderan berhasil tapi saldo belum masuk ke e money sudah hub custom service sampai sekarang belum ada jawabancoba lewat email pun sudah tapi hasilnya nihil kalo ada dana refund sih gpp tapi belum ada refund sampe sekarang,tanggal mei top up kartu elektronike money saldo dana terpotong orderan berhasil saldo masuk e money hub custom service jawabancoba email hasilnya nihil kalo dana refund sih gpp refund sampe,"['tanggal', 'mei', 'top', 'up', 'kartu', 'elektronike', 'money', 'saldo', 'dana', 'terpotong', 'orderan', 'berhasil', 'saldo', 'masuk', 'e', 'money', 'hub', 'custom', 'service', 'jawabancoba', 'email', 'hasilnya', 'nihil', 'kalo', 'dana', 'refund', 'sih', 'gpp', 'refund', 'sampe']",tanggal mei top up kartu elektronike money saldo dana potong order hasil saldo masuk e money hub custom service jawabancoba email hasil nihil kalo dana refund sih gpp refund sampe
kenapa setiap kali z masukan pin selalu salah padahal PINnya benar. d refresh ke sandi baru pun tetap bgitu.. mohon infonya. atau cantumkan atmin dana biar bisa konsultasikan masalahnya..,2,Negatif,kenapa setiap kali z masukan pin selalu salah padahal pinnya benar d refresh ke sandi baru pun tetap bgitu mohon infonya atau cantumkan atmin dana biar bisa konsultasikan masalahnya,kali z masukan pin salah pinnya d refresh sandi bgitu mohon infonya cantumkan atmin dana biar konsultasikan,"['kali', 'z', 'masukan', 'pin', 'salah', 'pinnya', 'd', 'refresh', 'sandi', 'bgitu', 'mohon', 'infonya', 'cantumkan', 'atmin', 'dana', 'biar', 'konsultasikan']",kali z masuk pin salah pin d refresh sandi bgitu mohon info cantum atmin dana biar konsultasi
Padahal saldo belum saya pakai sama sekali trus dipotong ada keterangan pembelian kuota padahal saya tidak beli kuota Lo... rencana mau saya pakai pembayaran disalah satu platform Lo untuk seminar...sangat kecewa gpp rejeki masih di tangan saya...saya tidak permasalahkan uangnya tp iktikatnya gimana,1,Negatif,padahal saldo belum saya pakai sama sekali trus dipotong ada keterangan pembelian kuota padahal saya tidak beli kuota lo rencana mau saya pakai pembayaran disalah satu platform lo untuk seminarsangat kecewa gpp rejeki masih di tangan sayasaya tidak permasalahkan uangnya tp iktikatnya gimana,saldo pakai trus dipotong keterangan pembelian kuota beli kuota lo rencana pakai pembayaran disalah platform lo seminarsangat kecewa gpp rejeki tangan sayasaya permasalahkan uangnya tp iktikatnya gimana,"['saldo', 'pakai', 'trus', 'dipotong', 'keterangan', 'pembelian', 'kuota', 'beli', 'kuota', 'lo', 'rencana', 'pakai', 'pembayaran', 'disalah', 'platform', 'lo', 'seminarsangat', 'kecewa', 'gpp', 'rejeki', 'tangan', 'sayasaya', 'permasalahkan', 'uangnya', 'tp', 'iktikatnya', 'gimana']",saldo pakai trus potong terang beli kuota beli kuota lo rencana pakai bayar salah platform lo seminarsangat kecewa gpp rejeki tangan sayasaya masalah uang tp iktikatnya gimana
"Ini kenapa ya uda premium trs besoknya ganti yg biasa hrus upgrade lagi.. Sedangkan upgrade gagal"" Mulu ada yg bisa bantu call center nya?",2,Negatif,ini kenapa ya uda premium trs besoknya ganti yg biasa hrus upgrade lagi sedangkan upgrade gagal mulu ada yg bisa bantu call center nya,ya uda premium trs besoknya ganti yg hrus upgrade upgrade gagal mulu yg bantu call center nya,"['ya', 'uda', 'premium', 'trs', 'besoknya', 'ganti', 'yg', 'hrus', 'upgrade', 'upgrade', 'gagal', 'mulu', 'yg', 'bantu', 'call', 'center', 'nya']",ya uda premium trs besok ganti yg hrus upgrade upgrade gagal mulu yg bantu call center nya
"Banyak kendala, masa pin udah bener masih aja salah, terus udah di ganti pin masih aja salah, hubungin costumer service iya iya doang sampe sekarang belum ada perbaikan",1,Negatif,banyak kendala masa pin udah bener masih aja salah terus udah di ganti pin masih aja salah hubungin costumer service iya iya doang sampe sekarang belum ada perbaikan,kendala pin udah bener aja salah udah ganti pin aja salah hubungin costumer service iya iya doang sampe perbaikan,"['kendala', 'pin', 'udah', 'bener', 'aja', 'salah', 'udah', 'ganti', 'pin', 'aja', 'salah', 'hubungin', 'costumer', 'service', 'iya', 'iya', 'doang', 'sampe', 'perbaikan']",kendala pin udah bener aja salah udah ganti pin aja salah hubungin costumer service iya iya doang sampe baik
"Bagus si,,tapi kenapa harus robot yang jawab ketika ada kesalahan dalam transaksi,apakah cuma itu yang bisa memuaskan pengguna aplikasi ini,saya top up kuota 2 kali transaksi gara2 lemot,giliran dicek yang masuk cuma satu,giliran dilaporkan gak ngasih solusi,,,",4,Positif,bagus sitapi kenapa harus robot yang jawab ketika ada kesalahan dalam transaksiapakah cuma itu yang bisa memuaskan pengguna aplikasi inisaya top up kuota  kali transaksi gara lemotgiliran dicek yang masuk cuma satugiliran dilaporkan gak ngasih solusi,bagus sitapi robot kesalahan transaksiapakah memuaskan pengguna aplikasi inisaya top up kuota kali transaksi gara lemotgiliran dicek masuk satugiliran dilaporkan gak ngasih solusi,"['bagus', 'sitapi', 'robot', 'kesalahan', 'transaksiapakah', 'memuaskan', 'pengguna', 'aplikasi', 'inisaya', 'top', 'up', 'kuota', 'kali', 'transaksi', 'gara', 'lemotgiliran', 'dicek', 'masuk', 'satugiliran', 'dilaporkan', 'gak', 'ngasih', 'solusi']",bagus sitapi robot salah transaksiapakah muas guna aplikasi inisaya top up kuota kali transaksi gara lemotgiliran cek masuk satugiliran lapor gak ngasih solusi
Kenapa susah sekali upgrade dana premium. Selalu gagal padahal baru buat. Tolonglah s7ya mau transaksi ini.,5,Positif,kenapa susah sekali upgrade dana premium selalu gagal padahal baru buat tolonglah sya mau transaksi ini,susah upgrade dana premium gagal tolonglah sya transaksi,"['susah', 'upgrade', 'dana', 'premium', 'gagal', 'tolonglah', 'sya', 'transaksi']",susah upgrade dana premium gagal tolong sya transaksi
Uang belum masuk ke rekening padahal transaksi sudah berhasil sudah satu Minggu uang saya belum masuk sudah live chat tp gak ada tanggapan di suruh nunggu sudah saya tunggu satu Minggu lebih belum masuk juga gimana ini pihak dana!!!!,1,Negatif,uang belum masuk ke rekening padahal transaksi sudah berhasil sudah satu minggu uang saya belum masuk sudah live chat tp gak ada tanggapan di suruh nunggu sudah saya tunggu satu minggu lebih belum masuk juga gimana ini pihak dana,uang masuk rekening transaksi berhasil minggu uang masuk live chat tp gak tanggapan suruh nunggu tunggu minggu masuk gimana dana,"['uang', 'masuk', 'rekening', 'transaksi', 'berhasil', 'minggu', 'uang', 'masuk', 'live', 'chat', 'tp', 'gak', 'tanggapan', 'suruh', 'nunggu', 'tunggu', 'minggu', 'masuk', 'gimana', 'dana']",uang masuk rekening transaksi hasil minggu uang masuk live chat tp gak tanggap suruh nunggu tunggu minggu masuk gimana dana
