userName,content
Maulana Ali usman,"Aplikasi bodong saya barusan top up 1 juta di indomaret,rencana buat tabungan.. tapi stelah saya top up aplikasi dana saya gk bisa di buka,pdahal udah versi terbaru tapi masih disuruh update apk ke versi terbaru terus.. makin lama makin gk jelas di apk dana.. untung duit gw masih 2Miliar lgi di bank.. nb : jngn download aplikasi dana.. atau duit kalian yg di dalem di curi sama admin nya.. ni apk klau tuk simpan uang sangat2 tidak rekomendasi.. !!!"
Indra Rusmana,"Server eror terus,,saya kecewa!! Jadi ga bisa beli pulsa padahal udah saya update ttp z ga bisa masuk,,,tolong dong perbaiki.makin parah"
Nakula Ismaya,saya tidak bisa upgrade ke premium padahal saya suka sekali dengan dana untuk masuk ke menu lain tidak bisa contohnya saja mau check in harian selalu kembali ke menu awal begitu pun masuk ke menu lainya tolong di perbaiki lagi juga sering ada notif jaringan terputus di aplikasinya.
Gopur Rohman,"lemot banget, setiap transaksi pending Mulu, mna lagi urjen, giliran transaksi pending, mau di batalin gak bisa, udah nunggu 2 hari gak balik2 saldonya."
Dina Zahra Maharani,"Ini aplikasi gimana sih ... Saya baru mau daftarkan nomor saya, koalah di minta PIN masuk ... Seolah olah nor saya sudah pernah terdaftar. Padahal nomor aja HP nya aja baru di beli dari counter. Solusinya min ! Masa harus belinnomor baru lagi aja sih ..."
RADEN SOELIWA (CO),"Dari tanggal 14 mei top up kartu elektronik/e money saldo dana sudah terpotong dan orderan berhasil tapi saldo belum masuk ke e money Sudah hub custom service sampai sekarang belum ada jawaban,coba lewat email pun sudah tapi hasilnya nihil Kalo ada dana refund sih gpp tapi belum ada refund sampe sekarang"
Elfiana Pramestiyanti,"Banyak kendala pakai dana mau upgrade premium gagal terus,jadi duit di dana ga bisa di ambil,sudah kirim email, telepon costumer service nya ga ada ya bisa dihubungi"
Ismail Haili,kenapa setiap kali z masukan pin selalu salah padahal PINnya benar. d refresh ke sandi baru pun tetap bgitu.. mohon infonya. atau cantumkan atmin dana biar bisa konsultasikan masalahnya..
verdiana angelia,Padahal saldo belum saya pakai sama sekali trus dipotong ada keterangan pembelian kuota padahal saya tidak beli kuota Lo... rencana mau saya pakai pembayaran disalah satu platform Lo untuk seminar...sangat kecewa gpp rejeki masih di tangan saya...saya tidak permasalahkan uangnya tp iktikatnya gimana
Kiya Kiyo,"Ini kenapa ya uda premium trs besoknya ganti yg biasa hrus upgrade lagi.. Sedangkan upgrade gagal"" Mulu ada yg bisa bantu call center nya?"
Rina Kusdiyanti,"Banyak kendala, masa pin udah bener masih aja salah, terus udah di ganti pin masih aja salah, hubungin costumer service iya iya doang sampe sekarang belum ada perbaikan"
Tarno Triadi,"Bagus si,,tapi kenapa harus robot yang jawab ketika ada kesalahan dalam transaksi,apakah cuma itu yang bisa memuaskan pengguna aplikasi ini,saya top up kuota 2 kali transaksi gara2 lemot,giliran dicek yang masuk cuma satu,giliran dilaporkan gak ngasih solusi,,,"
Ricy Andi,"Kecewa sama bahasanya,kenapa harus bahasa Inggris malah ga ada fitur setting league lagi,asli Indonesia tapi bahasa dalam aplikasi pake bahasa luar negara padahal bagi saya dana itu udah mantap.kekurangannya ya dibahasa"
Dika Putra,Kenapa susah sekali upgrade dana premium. Selalu gagal padahal baru buat. Tolonglah s7ya mau transaksi ini.
Rama Dhan,Uang belum masuk ke rekening padahal transaksi sudah berhasil sudah satu Minggu uang saya belum masuk sudah live chat tp gak ada tanggapan di suruh nunggu sudah saya tunggu satu Minggu lebih belum masuk juga gimana ini pihak dana!!!!
Dimas Aji,"Saat saya masuk kembali dengan nomor telepon dan memasukkan PIN DANA yang benar berkali-kali, dan sudah beberapa kali mengganti PIN DANA saya tidak dapat masuk. Sedangkan, saya ada tabungan di DANA. Tolong masalah ini segera di selesaikan"
Mas Adam,Dana saya sudah dulu upgrade premium tpi kemarin disuruh upgrade lagi.. pas upgrade gagal terus gimana ini.. sudah klik bantuan chat tpi selalu disuruh tunggu 10 mnt
DIAZARIO GALIH,Tolong dikembangkan lagi tambahkan informasi login biar kita tau itu kita yg pake atau bukan trs juga ada pengaturan untuk mengeluarkan dari perangkat lain.....semoga masukan saya dibaca karna agar lebih aman lagi kedepan nya☺️
Wahyunan Syah,"Sudah Lebih 24 jam transaksi tidak selesai di proses, Transfer ke Bca menunggu lama dan UANG tidak juga di refund... Cs support hanya menggunakan auto chat... Bagaimana bisa ini di sebut layanan terbaik..."
M Jumadil,"Tidak bisa membuka menu transaksi lain nya, sudah satu minggu ini hanya bisa isi pulsa dan data saja.. Menyesal isi saldo lumayan banyak, setelah saldo habis auto uninstal aplikasi/hapus akun. Stop pake aplikasi gak jelas!!!"
Juncind Zhay,"Cuma Banyak promo penawaran, saat melakukan pembayaran lewat dana uangnya belum sampai Sangat kecewa sekali menggunakan Apk dana ini, Transaksi sudah berhasil namun di cek ketujuan kirim uang belum masuk, bagaimana ini dana bikin orang susah."
Marlina Rusli,"Aplikasinya sangat membantu. Saran sistem pembayarannya di tambah lagi, contoh: pembayaran pajak, angsuran motor dll, bisa di print juga"
Boma Gendhenk,"selama ini sudah terintegrasi dengan cukup baik,transaksi apapun jadi lebih mudah,namun kadang2 beranda g@aa@"
Fajar Aaja,"Ini gimana ya, aku baru aja kehilangan saldo 30rb lebih padahal ga ada transaksi. Di history ku jg terakhir transaksi sebesar 1500 di 2 platform berbeda. Tp aku kehilangan saldo sampe 30rb. Tolong dong developer tanggapannya. Aku mau saldoku balik walau cuma segítu"
Ilham Alrosid,"Apk sering eror, gak bisa login, memassukkan nomer telpon dan sandi selalu double, memasukkan sandi yang benar tetap salah. Pelanggaran berat kasih bintang 1 dulu sampai ada perbaikan lanjut"
Roskiati Hasibuan,"Mau masuk ke applikasi susah, ketika login notif selalu pin salah ketika login menggunakan pin baru tetap salah, akhirnya saya unistal applikasi dan saya instal aplikasi lain yg lebih mudah dan seperti ovo dan link"
Rev soyaa,"Aplikasi totol,masuk ke aplikasi ko lama bgt udah gitu nunggu ferivikasi lama tapi gak masuk masuk,mau nyalahin jaringan ? jaringan gw bagus aplikasi aja yg bodoh"
Gun Gun Rahmat Wiguna,"Ribet daftar dana premium gagal terus, serasa dipersulit banget, cs nya juga gk respon mending pake app sebelah aja... dana selalu minta jadi premium padahal saya dulu udah premium tapi sekarang malah harus daftar premium lagi mana gk bisa transfer lagi, dasar app gagal"
WIWIT SOTIM,"Tolong di bantu untuk upgrade ke premium,sudah di coba dengan semua persyaratan yang diarahkan oleh sistem tetapi selalu gagal,padahal cuma mau nabung tidak mau berhutang!!!"
Mahessa Setia Hati,"Koq setelah di update malah turun kwalitas nya, udh top up tpi lama masuk nya, terus bahasanya juga berubah menjadi bahasa inggris sih,gak ada set merubah Bahasa nya, menjadi bahasa indonesia...gmna sih min... Tolong di tingkat kan lgi..."
Valonekiil,Parah padahal terakhir bulan Januari make buat top up normal dan bisa muncul tapi sejak masuk april udah ga bisa muncul widget bayar nya jadi harus ngakalin lewat google tapi sekarang malah kalo notif login google di klik gak muncul konfirmasinya. Cuma bisa pake lewat googleplay doang sekarang
PATOKAN S.Kep. Ners,"Sekrang DANA sangat lemoott banget pada hal sinyal kuat,banyak bug,bayar pake qeris sering gagal...mohon cepat diperbaiki"
Daryoso Basuki,"Saldo berkurang, ada riwayat transaksi kirim uang, tapi nomor tidak dikenal, dan waktu itu saya tidak melakukan transaksi. Chat yang mbalas robot, tidak jelas maksudnya, ribet, berulang-ulang. Uang tidak kembali, setengah juta lebih."
Andi Rohandi,"Maaf dana sekarang banyak pengguna ngasih bintang satu.Dana mulai tidak jelas ada pemotongan untuk dana masuk ,harga harganya mulai naik,seperti paket data dan pulsa. Cocok bintang satu untuk dana update terbaru"
Anil Fahsyai,"Kenapa sih kok masih ada tulisan ""koneksi internetmu terputus nih"" padahal sinyal aku udah stabil masih aja tidak bisa di gunakan, coba lebih di benarkan lagi apk nya biar bintang 5 ada kalau apk nya begini nantinya banyak orang yang memberi bintang 1, karena alasan apk nya tidak bisa digunakan atau masalah jaringan kan gak tau, jadi berharap yang baca ini, dan semoga diperbaiki lagi oleh pemilik 'DANA' tersebut. terimaka sih"
Riko Ktp,"Emang aplikasi gila ,nunggu pembatalan pembayaran saldo ,bisa2 memakan waktu berjam2 ,dan Sampai sekarang saldo gua gak balik2 kedompet utama , aplikasi wajib dihapus dari play store, karena sangat merugikan banyak orang"
markus 9gian (AGIAN),"Sangat membantu sekali saat bertransaksi online / berbelanja online , pembelian paket internet / pulsa dsb memakai aplikasi DANA. Akses cepat dan mudah, aman dan terpercaya dlm bertransaksi untuk saat ini..., mudah²an amanah selalu.👌👌👌👍👍👍 TKS 🙂"
Hermawan 722,"Keren sih dana apalagi kalau sudah Premium pengamanan nya tidak di ragukan lagi, kemarin saya hampir di hack orang Alhamdulillah bisa teratasi dengan baik. Tingkatkan lagi pengamanan untuk aplikasi DANA . Terimakasih"
usman baehaki,"tolong di perbaiki system kepekaan kepada pengguna APK DANA.. kasih kepekaan yg cepat.. respon yg cepat agar transaksi tidak terhambat.. saldo saya belum di kembalikan, topup via alfa keterangan sukses tapi belum bertambah saldo nya, dan resolusi sudah berulang ulang.. masih belum saja update"
Wanwan Yusuf,"Topup saldo di Alfamart dan punya struk tapi saldo tidak bertambah, sudah melaporkan diaplikasi dan via email menunggu 1 sampai 2 hari tapi tidak ada kelanjutannya,.."
Mulder Sateet,"Menggunakan dana sudah lama tp Di kecewain kali ini. Baru kali ini saya teransper ke rekening. saldo sudah terpotong, tetansaksi sukses. Tapi uang tidak masuk di rekening tujuan. Laporan pun cuek cuek aja ."
Dadi Wijaka,Sistem keamanan nya tolong di perbaikin dan diperketat...saldo saya hilang terus padahal sy tidak melakukan transaksi...sy sudah laporan pengaduan ke ke customer service tapi smpe sekarang gk ada tindakan apaun...tolong bantuan nya biar sy bisa nyaman dan gk risih bertransaksi di dana
Aqila nailal Husna,"Baru saja daftar isi saldo,uda di sadap sama oranguda ngak bisa lagi di buka,hancur kali aplikasi ini sangat mudah di ambil orang."
Zaenul Arifin,"Sangat parah sekarang pakai dana .. transaksi pakai QRIS status berhasil tapi saldo tidak masuk ke penerima , udah live chat 2x24 ga ada respon sama sekali email pun sama ga ada respon juga"
Rafly Paputungan,"aplikasi keamana kurang baik kenapa saldonya hilang, sedangkan saya tidak melakukan transaksi.. sudah mengajukan pelaporan tapi belum ad blasannya.. ad solusinya kah kalaw tidak ad solusi mending aplikasinya di tutup jangan ad lebih banyak korban..."
Sulis Tri,"Tolong dong dana perketat lagi keamanan nya,ini kok saldo ku berkurang 180k,,pas diliat diriwayat nya ada transfer an ke google Ke VPN turbo,masa pihak VPN bisa sedot dana, padahal td malam sama sekali gak ada proses transaksi manual dr kami,"
Dara Syah,"Dana di update Mulu tapi gak bagus bagus, kalo mau tf suruh update ke premium, udah pernah di update ke premium malah suruh update lagi, malah kalo update ke 2 kali gak bisa pake data yang sama, gimana ceritanya kaya gitu"
Abill Styawan23,"Saya sudah kecewa dari pihak developer aplikasi DANA, Kemarin saldo dana aku 50.000 disedot oleh google padahal saya tidak ada pembelian, terus saya isi saldo lagi 60.000 masih kejadian yg sama, saya mengajukan permohonan pengembalian saldo saya , saya telp pihak developer DANA kata nya isi top up 190.000 genapkan jadi 300.000, saya top up eh malah hilang semua saldo saya, disini saya mulai kecewa dengan aplikasi ini, Jadi mohon maaf saya unistal aplikasi ini, klo semua saldo saya dikembalikan"
Indra Saepul,"Aplikasi goblokk saldo saya 500 rbu gk bisa di tarik harus upgrade ke dana premium lagi,,padahal dari awal pake apk ini sudah berhasil JD dana premium pas upgrade gagal Mulu ,JD gk bisa di ambil uang saldo nya,,dasar aplikasi goblokk anjigg"
Wahyu Wirdayati,"Dari awal instal udah lebih 1 thn verifikasi premium selalu ditolak,padahal E KTP asli, kok hasilnya palsu, udah di tambahin KSK asli jg msh ditolak, aplikasi ga bener nih, uninstal aja, mendibg pake LINK g ribet"
burhan uddin,"Kedepannya di perbaiki dalam hal update data ya kak, soalnya banyak pengguna yang merasa menggunakan dana tapi lemot aplikasinya, kecepatan aplikasi diperbaiki. Sukses selalu ya kak buat dana."
Eva Lestari,Saldo tertahan batal mengirim sudah 2 hari belum ada kejelasan untuk di kembalikan... Berbeda dengan aplikasi Bank konvensional contoh livin dari Bank Mandiri... Jika gagal transfer uang cepat di kembalikan dalam hitungan menit... Saya sesalkan Jika di saat Pengiriman dana Darurat uang tertahan berhari-hari yang seharusnya secepatnya dibayarkan... Chatlive tidak ada di aplikasi Hannya chat sistem komputer... Hanya balasan bersabar dan bersabar... TOLONG DI PERBAIKI SISTEMNYA RESPONNYA DONG
danu Llen,"Apk babii, skarang top up sllu kena potongan, mmang apk kkontoll ..Lama"" Nii apk , malah tambah bego , makin update .. Abis update malah , ga bisa ngapa"" In , yg bikin bego CS nya ga bisa nyelesaiin masalah .."
Mahnun Ardiansyah,"Aplikasi kagak jelas, sudah download sudah transfer tapi susah digunakan lagi, ribetnya harus nunggu verifikasi data lagi, padahal data sudah benar, sekalinya download pengen lempar hape ini aplikasi"
Khai Riyyah,"Knpa jadi makin lola sih, awal nya saya kira sinyal saya, stelah sy pakai wifi kantor dan ganti provider ttep aja lemoottt berarti yg salah bkn sinyal tp aplikasi nya"
Zun Not,"udah di download, daftar, tp setelah di daftarin ga bisa di gunain, mau kirim dana ke temen ga bisa, harus di upgrade premium, bagian di daftarin malah gagal terus, chat di CS malah spam info karena gagal, di bales chat nya ga bisa2, aplksi ribet & useless..."
Abdul Layar Misteri,mantap teransaksi lebih mudah ongkir lebih murah tolong jangan di ubah lagi ongkir nya biar tambah maju lagi biyaya murah pasti lebih banyak yang berminat mengunakan aplikasi dana ini dan mudah2an aplikasi ini kedepannya tambah lebih baik lagi
Qomariyah Sulaiman,"Aplikasi gak amanah, untuk ngisi kartu e-tol 500ribu ditransferan gak masuk ,dipemberitahuan masih proses, udah 3 minggu dikomplain masih belum dibalikin saldo👎. Aplikasi no good"
Rafsan Jani,"Coba kirim pakai nomor asal asalan, Contoh : 081111111111 Isi nominal, terus masukin pasword, dan lihat apa yang terjadi, Inikah aplikasi yang di bangga² kan? Segitu parahnya kah tingkat keamanan apk dompet digital yang satu ini? Sangat di sayangkan sekali. 😏"
Z - 03,"makin lama makin sering error, sistem sibuk mulu dah 3 hari gak bisa tf ke bank bilangnya sistem sibuk. di update pun tetep sama. ngehambat kerjaan orang aja"
iki warzono,"Bagus hanya beberapa bulan,setelah update beberapa kali jadi buruk,lemot,susah buat transaksi dan yg terakhir saldo berkurang tapi gak terkirim dan uang gak di kembalikan... aplikasi busuk"
zulfikar goulap,"apaan tiba²ke logout sendiri padahal itu pake nomor kedua mau coba login lagi malah gabisa ada tulisan""nomor telah terdaftar atas nama pengguna lain,mohon periksa kembali""gajelas padahal itu nomor kedua"
M.Maulana Yusuf Ma'u,"Maaf min, saat keluar dari akun dana yg pertama 1 dan pas mau masuk ke akun dana yg ke2 selalu gagal terus dikarenakan harus update apk, padahal usah update yg terbaru, dan dari kedua akun tersebut masih memiliki saldo"
Ifar_ Rizma'i,"Masa udah update aplikasi terbaru malah di suruh update lagi udah gitu ga bisa masuk aplikasinya ribet harus masukin nomer lagi terus pas masuk malah harus ngehubungi pihak aplikasi dana,kenapa menghubungi nya juga harus menggunakan pulsa sendiri ya itu tanggung sama depeloper aplikasinya lah massa sama pengguna kan aneh"
Zulmy Eve,"Banyak transaksi yang berkendala, contohnya transaksi pembayaran kartu kredit bukopin, dari pihak bank pun menginformasikan bahwa nasabah lain yang pembayarannya menggunakan dana banyak yang berkendala. Selain itu saya juga pernah isi emoney mandiri, masih belum masuk sampai sekarang karena transaksi pending"
Justru Eli,"Pengembalian Transaksi dana sekarang tidak ada konfirmasi dan tindak lanjut dari tim dana, saya jadi malas untuk melakukan transaksi lagi. Tolong untuk bagian konsultasi diubah agar terhubung dengan pengguna bukannya dibalas dengan pesan otomatis."
Hafidz 'Al,"Saya ingin mengembalikan akun yang baru(belum premium) ke akun yang lama (premium) tetapi saya harus mengosongkan saldo, sedangkan jika ingin memindahkan atau tarik tunai harus premium dulu. Sistemnya ga jelas"
Rian Adi Pangestu,"Parah, suruh ganti akun malah saldo ilanb gatau kemana. Akun jadi bermasalah. Mau aduin pengajuan tapi gabisa di akses pengaduan lewat app nya. Sampah bgt merugikan customer"
David Tile,"udah 2 hari ngga bisa transfer....isi notifnya, sistem sedang sibuk... udah pake cara update aplikasi da lain"" ttp ngga bisa... tolong di perbaiki secepatnya ya,"
Muhammad Alamsyah,"Good👍👌 utk semua trx sangat mudah tdk ada kendala apapun👌 Saran saya utk login ke akun dana klo bisa jgn langsung menggunakan nomor hp ,soalnya sdh byk disalahgunakan oleh pihak lain ,alternatifnya sihh menggunakan ID/USERNAME pada saat mau login"
Wakhid Iswanto,"Dari kmarin verifikasi gagal mulu,... Padahal foto e KTP uda jelas,.... Trus kenapa tertera koneksi sinyal ga ada padahal sinyal bagus.... Custemernya juga ga bisa dihubungi,... Jadi ragu nyimpen uang ke aplikasi ini"
Wayan Nugraha,"Top up bisa tapi di pakai transaksi tidak bisa, katanya Belum premium, giliran mau Upgrade ke premium harus nunggu 1 dekade mungkin!!"
Irfan Nurdian,"Saya suka dengan aplikasi dana, tetapi ada kendala transaksi yang terpending dan saldo sudah terpotong, proses bantuan kendala transaksi sangat lama sudah berhari hari tidak di respon oleh tim dana. Alhasil uang saya nyangkut."
Muhamad Pandu,"Hallooo,,, upgrade koq lama bener, udah hampir 4 hari ga selesai,,, uang juga udah terlanjur masuk saldo,, kasih solusi dooong, di telpon customer sevis juga dialihkan kesedot pulsa juga, HALLOOOOOO"
Benny Pambudhie,"Aplikasinya cacat banyak bug nya, tolong diperbaiki, jangan sampai pindah ke dompet digital lainnya, thanks"
Afit Rizki,"Keamanannya parah, akun dana saya kebobolan walaupun nominal ga seberapa tapi kalau begini terus bisa bangkrut ditambah sudah mengajukan laporan dari 3 hari yang lalu tapi belum ada perkembanganan apapun..."
nahuri irawan,kalau mau ambil di gerai alfamart susah sekali...ada saja alasan nya..ganti sip lah lg of lah berbagai macam alasan...tapi kalau untuk setir mah berapa saja masuk...slalu online...tolong di bahas kembali terkait penarikan saldo dana di gerai alfa..supaya di mudahkan melakukan penarikan saldo dana nya...teeimakasih .
Ade Chandra Purnama,Parah banget. Isi emoney pake dana. Transaksi berhasil tapi saldo tidak masuk. Susah menghubungi live chat. Tapi ga ada solusinya. Keamanan nya gimana ya ni aplikasi?? Tolong tindak lanjut nya dari dana.
fizhhh,"ah gimana si, masa sy beli paket data di suatu apk, metode pembayaran Pake dana, trs sehabis saya bayar padahal di apk itu transaksi gagal katanya, tapi saldo dana saya tetap terpotong gimana si ini develepor, udh laporan, tanggapan nya lama banget, kek ga di proses², ujung² nya saldo saya ilang hangus"
Bizu Gaming,"Aplikasi Ini Tidak Dapat Digunakan,, Saya Mau Login Akun Dana Saya Malah Disuruh Update Aplikasi Ke Yang Terbaru,, Padahal Sudah Terbaru,, Lalu Disuruh Kirim Email Ke CS DANA, tpi sampai sekarang udh 6 hari gaa ada respon sama sekali!!"
Meli Melina,Apk nya sering keluar sendiri..pas mau buka apk nya langsung keluar lagi..harus bberapa kali baru bisa..itupun sangat lemot..parahh nihh dana..
Aris Adiasan,"Kecewa sekali dengan dana, saya top up dari alfa sampai saat ini belum masuk juga udah 2 hari, padahal saya sudah laporan lewat bantuan, tapi tetep saldo gak ada masuk juga, ini gimana? 500 rb bukan uang kecil bagi saya itu besar, payah, jangan gtulah!!!!"
Totok 10,Untuk dana bisnis pembayaran scan qris dari bank/aplikasi lain tolong prosesnya selesai dalam hitungan menit soalnya kalau mau ditarik saldonya tidak nunggu berapa hari. Bagi saya nunggunya terlalu lama.
Andina Ignatya,"Kenapa setiap mau claim dana kaget selalu diarahin ke playstore dulu??? dan waktu mau tarik saldo dabis padahal sudah vermuk selalu gagal?? udah di update malah bikin ribet dan bingung, dana udah gak kayak dulu lagi deh T__T ini mengganggu banget buat jualan.."
Mahendra Raga Kusuma,"Lagi urgent banget mau kirim uang, malah suruh nunggu 24 jam, padahal transaksi baru 1 kali itu di hari itu, alhasil uangnya gabisa diapa2in selama 24 jam, dan akhirnya harus pinjem uang temen."
Adi Saputra,"Ribet banget aplikasinya Minta cara reset lupa PIN malah di berbelit"" Sudah gitu tidak fast respon lama banget padalmah tinggal kirim kode otp ke ponsel nomer tersebut kenapa harus berbelit"" ribet banget aplikasi aduhh dana saya sudah tidak bisa di pakai karna lupa pin mana ada saldonya lagii"
06_ BINTANG FADILLAH,saya mengalami kendala ketika ingin menarik saldo dana bisnis saya via qriz tetapi setiap kali saya mau tarik saldo tersebut mengalami gangguan seperti menunggu load yang sama padahal jaringan saya sudah bagus dan aman
Kyousuke Hasegawa,"Saya punya voucher untuk bayar bpjs kesehatan, tapi voucher tidak bisa digunakan karena tidak otomatis terpakai seperti bayar internet tv kabel dan menu untuk pilih vouchernya pun tidak ada. Percuma dong vouchernya?"
Muhamad Yusuflinu,"Sistem sedang sibuk terus. Upgrade ke premium ribeet ,,, apk eror lemot . Mohon perbaiki jangan di biarkan terus,,, merepotkan pengguna saja . Chat CS susah banget sllu otomatis ,,, benerin dong ,, jngn mlah ribetin kita pengguna"
Zetsu Gamers,Tiba tiba saja HP saya tidak bisa login ke akun dana saya. Saya sangat kecewa Katanya harus update ke versi Terbaru Setelah saya update . Tetap saja login ppun tak bisa sama sekali
Cholis Jling,"Pelayanan & Customer service tidak memadai. Komplain kegagalan transaksi & refund saldo tidak ada feedback, Baik itu lewat email telpon. Lemah terhadap penanganan masalah yang terjadi di pengguna apk, tidak recommended"
Jeki Iswana,"Aplikasi dana makin lama makin hancor. Sering kendala sama transaksi,transaksi saya diproses 23jam ..geratis ongkir juga terbatas ,aplikasi bwaan lemot. Saat kendala bingung mau menghubungi pihak CS dana nya .. tolong perbaiki lagi. Tks~~"
Dimas,"mantap lah buat ATM online bayar juga praktis ga perlu bawa-bawa uang lagi kesana kemari, cuma tolong dong buat kerja sama, sama Indomaret biar top-up nya gampang hehe"
ستي عائشة مانيك,"Sangat2 kapok pake aplikasi ini, tadinya isi pulsa dan nomornya salah, padahal belum konfirmasi akhir, tapi saldonya sudah dipotong aja, ketika minta refund katanya sudah di refund padahal belum sama sekali, lebih teliti transaksi disini"
Yann,"Beli paketan bayar lewat dana, pas diliat didana nya transaksi berhasil tapi nggak masuk²paketan nya malah dikurangin duitnya doang, udah di laporin dari 3 hari yang lalu sampe sekarang belum sama sekali di proses, kecewa parah sama dana"
Umar Liu,Sekiranya di DANA bisa di tambahkan fitur CETAK STRUK Maka akan sangat membantu dan mempermudah saya dalam bertransaksi. Di harapkan kedepannya sudah ada fitur CETAK STRUK TRANSAKSI. Terima Kasih.
om jo,apk dana tdk dapat diakses ada kendala apa ya? sy sudah update versi terbaru jg tetap gagal.. tolong di cek.. mohon dilakukan pemberitahuan saat sistem dana akan ada perbaikan. sewaktu2 dibutuhkan urgent bisa dipindahkan dlu saldonya..
Lia Kurniasih,Kenapa saya tidak bisa upgred ke dana premium.sudah saya coba beberapa kali tetap saja tidak bisa.ini sangat mengecewakan dan sangat menghambat transaksi saya.tolong perbiki secepatnya
Kei Angler Sulawesi,"Benar2 mengecewakan. Selalu minta upgrade. Udah di upgrade giliran mau transaksi minta upgrade lagi. Pada akhirnya upgrade gagal, dan tdk bisa transaksi"
